season,date_report,team_id,team_abbr,player_id,player_name,pos,status,designation,il_days,retro_date,expected_return,description,source
2025,2025-03-01,133,ATH,,,,,,,,,3B Tommy White roster status changed by Athletics.,statsapi
2025,2025-03-01,133,ATH,,,,,,,,,3B Tommy White roster status changed by Athletics.,statsapi
2025,2025-03-04,133,ATH,,,,,,,,,C Cole Conn roster status changed by Athletics.,statsapi
2025,2025-03-09,133,ATH,,,,,,,,,3B Euribiel Angeles roster status changed by Athletics.,statsapi
2025,2025-03-10,133,ATH,,,,,,,,,C Shane McGuire roster status changed by Athletics.,statsapi
2025,2025-03-11,133,ATH,,,,,,,,,CF Pedro Pineda roster status changed by Athletics.,statsapi
2025,2025-03-12,133,ATH,,,,,,,,,2B Cooper Bowman roster status changed by Athletics.,statsapi
2025,2025-03-13,133,ATH,,,,,,,,,C Davis Diaz roster status changed by Athletics.,statsapi
2025,2025-03-13,133,ATH,,,,,,,,,RHP Yehizon Sanchez roster status changed by Athletics.,statsapi
2025,2025-03-13,133,ATH,,,,,,,,,RHP Yehizon Sanchez roster status changed by Athletics.,statsapi
2025,2025-03-17,133,ATH,,,,,,,,,C CJ Rodriguez roster status changed by Athletics.,statsapi
2025,2025-03-17,133,ATH,,,,,,,,,RHP Hunter Breault roster status changed by Athletics.,statsapi
2025,2025-03-24,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed LHP Brady Basso on the 15-day injured list. Strained left shoulder.,statsapi
2025,2025-03-24,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed 3B Brett Harris on the 10-day injured list retroactive to March 24, 2025. Left oblique strain.",statsapi
2025,2025-03-26,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed 2B Zack Gelof on the 10-day injured list. Right wrist surgery.,statsapi
2025,2025-03-26,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed RHP Michel Otañez on the 15-day injured list. Right shoulder impingement.,statsapi
2025,2025-03-26,133,ATH,,,,IL,60-Day-IL,60.0,,,"Athletics placed LHP Ken Waldichuk on the 60-day injured list retroactive to March 26, 2025. Recovery from Tommy John surgery.",statsapi
2025,2025-03-31,133,ATH,,,,,,,,,Athletics activated LHP Angel Perdomo.,statsapi
2025,2025-04-07,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics transferred LHP Brady Basso from the 15-day injured list to the 60-day injured list. Strained left shoulder.,statsapi
2025,2025-07-26,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed SS Jacob Wilson on the 10-day injured list. Fractured right forearm.,statsapi
2025,2025-04-23,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed RHP José Leclerc on the 15-day injured list. Right lat strain.,statsapi
2025,2025-04-25,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed RHP J.T. Ginn on the 15-day injured list retroactive to April 25, 2025. Riight elbow inflammation.",statsapi
2025,2025-04-30,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics transferred RHP José Leclerc from the 15-day injured list to the 60-day injured list. Right lat strain.,statsapi
2025,2025-05-12,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed LHP T.J. McFarland on the 15-day injured list. Adductor strain.,statsapi
2025,2025-05-13,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics activated RHP Michel Otañez from the 15-day injured list.,statsapi
2025,2025-05-19,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics activated RHP J.T. Ginn from the 15-day injured list.,statsapi
2025,2025-05-20,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed RHP J.T. Ginn on the 15-day injured list. Right quadriceps strain.,statsapi
2025,2025-05-23,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed 3B Gio Urshela on the 10-day injured list. Left hamstring strain.,statsapi
2025,2025-05-23,133,ATH,,,,IL,60-Day-IL,60.0,,,Athletics placed 2B Zack Gelof on the 60-day injured list.,statsapi
2025,2025-05-25,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed 1B Nick Kurtz on the 10-day injured list retroactive to May 25, 2025. Strained left hip flexor.",statsapi
2025,2025-05-28,133,ATH,,,,,,,,,Athletics activated LHP Sean Newcomb.,statsapi
2025,2025-06-02,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed LF Miguel Andujar on the 10-day injured list. Strained right oblique.,statsapi
2025,2025-06-01,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed RHP Gunnar Hoglund on the 15-day injured list retroactive to June 1, 2025. Left hip impingement.",statsapi
2025,2025-06-05,133,ATH,,,,,,,,,Athletics activated RHP Michael Kelly.,statsapi
2025,2025-06-05,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics activated LHP T.J. McFarland from the 15-day injured list.,statsapi
2025,2025-06-06,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed C Shea Langeliers on the 10-day injured list. Left oblique strain.,statsapi
2025,2025-06-08,133,ATH,,,,,,,,,C Austin Wynns roster status changed by Athletics.,statsapi
2025,2025-06-09,133,ATH,,,,,,,,,Athletics activated C Austin Wynns.,statsapi
2025,2025-06-09,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated 1B Nick Kurtz from the 10-day injured list.,statsapi
2025,2025-06-16,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics activated RHP J.T. Ginn from the 15-day injured list.,statsapi
2025,2025-06-13,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed LF Seth Brown on the 10-day injured list retroactive to June 13, 2025. Left elbow lateral epicondylitis.",statsapi
2025,2025-06-17,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated 3B Gio Urshela from the 10-day injured list.,statsapi
2025,2025-06-16,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed RHP Grant Holman on the 15-day injured list retroactive to June 16, 2025. Right shoulder rotator cuff tendinitis.",statsapi
2025,2025-06-22,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics transferred RHP Gunnar Hoglund from the 15-day injured list to the 60-day injured list. Left hip impingement.,statsapi
2025,2025-06-30,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated C Shea Langeliers from the 10-day injured list.,statsapi
2025,2025-07-03,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed 2B Luis Urías on the 10-day injured list retroactive to July 3, 2025. Right hamstring strain.",statsapi
2025,2025-07-04,133,ATH,,,,IL,60-Day-IL,60.0,,,Athletics activated 2B Zack Gelof from the 60-day injured list.,statsapi
2025,2025-07-09,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated LF Miguel Andujar from the 10-day injured list.,statsapi
2025,2025-07-13,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated 2B Luis Urías from the 10-day injured list.,statsapi
2025,2025-07-15,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics transferred RHP Grant Holman from the 15-day injured list to the 60-day injured list. Right shoulder rotator cuff tendinitis.,statsapi
2025,2025-07-19,133,ATH,,,,IL,60-Day-IL,60.0,,,Athletics activated LHP Ken Waldichuk from the 60-day injured list.,statsapi
2025,2025-07-22,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics placed 3B Max Muncy on the 10-day injured list. Right hand fracture.,statsapi
2025,2025-07-21,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed CF Denzel Clarke on the 10-day injured list retroactive to July 21, 2025. Right adductor strain.",statsapi
2025,2025-07-24,133,ATH,,,,,,,,,1B Logan Davidson roster status changed by Athletics.,statsapi
2025,2025-08-04,133,ATH,,,,IL,10-Day-IL,10.0,,,"Athletics placed C Austin Wynns on the 10-day injured list retroactive to August 4, 2025. Abdominal strain.",statsapi
2025,2025-08-06,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed RHP Luis Severino on the 15-day injured list retroactive to August 6, 2025. Left oblique strain.",statsapi
2025,2025-08-11,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics transferred C Austin Wynns from the 10-day injured list to the 60-day injured list. Abdominal strain.,statsapi
2025,2025-08-11,133,ATH,,,,IL,60-Day-IL,60.0,,,Athletics activated LHP Brady Basso from the 60-day injured list.,statsapi
2025,2025-08-22,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed LHP Ben Bowden on the 15-day injured list. Strained left lat.,statsapi
2025,2025-08-22,133,ATH,,,,IL,15-Day-IL,15.0,,,Athletics placed RHP Jack Perkins on the 15-day injured list. Strained right shoulder.,statsapi
2025,2025-08-22,133,ATH,,,,IL,10-Day-IL,10.0,,,Athletics activated SS Jacob Wilson from the 10-day injured list.,statsapi
2025,2025-08-25,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed LHP Jacob Lopez on the 15-day injured list retroactive to August 25, 2025. Left elbow flexor strain.",statsapi
2025,2025-08-25,133,ATH,,,,IL,15-Day-IL,15.0,,,"Athletics placed RHP Joey Estes on the 15-day injured list retroactive to August 25, 2025. Herniated disc in lower back.",statsapi
2025,2025-03-03,134,PIT,,,,IL,60-Day-IL,60.0,,,Pittsburgh Pirates placed RHP Johan Oviedo on the 60-day injured list. Right elbow injury and right lat strain.,statsapi
2025,2025-03-24,134,PIT,,,,IL,10-Day-IL,10.0,,,"Pittsburgh Pirates placed 1B Spencer Horwitz on the 10-day injured list retroactive to March 24, 2025. Right wrist surgery.",statsapi
2025,2025-03-24,134,PIT,,,,IL,15-Day-IL,15.0,,,"Pittsburgh Pirates placed RHP Jared Jones on the 15-day injured list retroactive to March 24, 2025. Right elbow UCL sprain.",statsapi
2025,2025-03-28,134,PIT,,,,IL,10-Day-IL,10.0,,,Pittsburgh Pirates placed 2B Nick Gonzales on the 10-day injured list. Non-displaced left ankle fracture.,statsapi
2025,2025-03-31,134,PIT,,,,IL,15-Day-IL,15.0,,,Pittsburgh Pirates transferred RHP Jared Jones from the 15-day injured list to the 60-day injured list.,statsapi
2025,2025-04-03,134,PIT,,,,,,,,,Pittsburgh Pirates activated LF Alexander Canario.,statsapi
2025,2025-04-06,134,PIT,,,,IL,15-Day-IL,15.0,,,Pittsburgh Pirates placed RHP Colin Holderman on the 15-day injured list. Right knee sprain.,statsapi
